track_id,searched_artist,searched_title,lyrics,majority_genre,minority_genre,artist,song
TRAABJS128F9325C99,Beach House,Auburn and Ivory,"Once when I saw her there
White light she stood so still
Warming her eyes to the sea
Hardly her way to be free
Auburn and ivory

Heart break and pony tails



Holding her bones by a fire

writing the letter she sails

white page turns golder lights

wanting her one sacrifice



auburn and ivory

heart break and pony tails



come to me

and I'll tell you what's wrong

she said, ""I'll wait for you. I'll wait for...""



Once when I saw her there

white light she stood so still

white page turns golder lights

hardly her one sacrifice



auburn and ivory

heart break and pony tails",Rock,,Beach House,Auburn and Ivory
TRAABLR128F423B7E3,Blue Rodeo,Floating (Remastered 2012 version),"Well, these late night conversationsLeave a strange taste,Like french cigarettes.And these coloured drinksthat you keep on throwin' at meJust keep on reminding meI came to forget.So now every nightYou insist on reminding meOf my lost possibilitiesAnd the stains on the wall.Well, I don't mean to complainBut it hurts just the same.And now both of us knowThe leaves will fall on their own.Just throw me a lineThat's all that I askWell, it's sink or swim and I'm goin' fastI need love and it's youAnd I feel like William Holden floating in a pool.Yea, you tell meLife is for livingIt's best in the givingBut it's so hard to be free.Still I do my bestBut you refuse my giftAnd now all that we shareIs a collection of tears.Just throw me a lineThat's all that I askWell, it's sink or swim and I'm going fastI need love and it's youAnd I feel like William Holden floating in a pool.",Rock,,Blue Rodeo,Floating
TRAABRU12903D06D56,Junkie XL,More (Radio Edit),"Roll more, rock more
Roll more, rock more
Roll more
Rock, rock, rock, rock

Roll more, rock more

Roll more, rock more

Roll more, rock more

Roll more, rock more



Roll more

Rock, rock, rock, rock

Rock, rock, rock, rock

Rock, rock, rock, rock



Rock, rock, rock, rock

Rock, rock, rock, rock

Rock, rock, rock, rock

Pac-Man is loving it



Rock more, roll more

Fuck more, Pac-Man is loving it

Rock more, roll more

Fuck more, Pac-Man is loving it



A cloudy vision, absence of granter

I don't care what is wrong or right

The earth is bleeding and secreeding madness

Petrified, gone dry inside



The wheels keep turning and the clock is pounding

And there's only more and more that I want

And through the things you can still feel the sounding

Of the maze, of the place where things still matter



Rock more, roll more

Fuck more, Pac-Man is loving it

Rock more, roll more

Fuck more, Pac-Man is loving it



I lost the feeling, a sense of numbness

And it's spinning like you're top out of sight

Climb out the window, what the hell do you know?

You don't even seem to put up a fight



Created by me, for me

It's a place called reality

Broken mirrors and broken promises made easily

But I just want you to



Rock more, roll more

Fuck more, Pac-Man is loving it

Rock more, roll more

Fuck more, Pac-Man is loving it



Rock more, rock more

Rock more, rock more

Rock more, rock more

Rock more, rock more

Rock



I get down on my knees

Fuck more

Pac-Man is loving it



Rock more, roll more

Fuck more, Pac-Man is loving it

Rock more, roll more

Fuck more, Pac-Man is loving it



Rock more, roll more

Fuck more, Pac-Man is loving it

Rock more, roll more

Fuck more, Pac-Man is loving it



Rock more, roll more

Fuck more, Pac-Man is loving it

Rock more, roll more

Fuck more, Pac-Man is loving it



Rock more, roll more

Fuck more, Pac-Man is loving it

Rock more, roll more

Fuck more, Pac-Man is loving it



Pac-Man is loving it

Pac-Man is loving it

Pac-Man is loving it",Electronic,,Junkie XL,More (Radio Edit)
TRAABVM128F92CA9DC,Tesla,Caught In A Dream (Album Version),"Now, if you can imagine this, the whole world sharing one big kiss
These are thoughts all through my brain, that I daydream everyday
That I'm alive and well, and right now, I'm alive, I'm feeling...well
It's my life to live my way, so I'll keep daydreaming away
And who knows, maybe someday, it will all come true
And I will get my way, and we will live as one



I'm caught up in a dream, I'm gonna wish for it all

No one's gonna tell me how, no way, this is my dream now

I'm caught up in what seems simply impossible

I ain't gonna change a thing, no way, it's my dream



And what cannot will be done, for every living thing under the sun

Forget color, forget race, and just be one big happy face

Among this sea of people, live among God's creatures, sharing love

That was sent down from above, here to share with one another

Father, brother, sister, mother, everybody sharing love, sharing love



I'm caught up in a dream, I'm gonna wish for it all

No one's gonna tell me how, no way, this is my dream now

I'm caught up in what seems simply impossible

I ain't gonna change a thing, no way, it's my dream, this is my dream



What if...I close my eyes and everything will be alright

Here in my fantasy, living in harmony

Make my dream come alive



I'm caught up in a dream, I'm gonna wish for it all

No one's gonna tell me how, no way, this is my dream now

I'm caught up in what seems simply impossible

I ain't gonna change a thing, no way, it's my dream

I'm caught up in a dream, I'm gonna wish for it all

No one's gonna tell me how, no way, this is my dream now

I'm caught up in what seems simply impossible

I ain't gonna change a thing, no way, it's my dream



Now, if you can imagine this, the whole world sharing one big kiss

Take away the pain and hurt, make like heaven here on earth

Without reason to die, and given everlasting life for all",Rock,,Tesla,Caught In A Dream
TRAACIE128F428495B,Pearl Jam,Not for You (Remastered),"Restless soul, enjoy your youth
Like Muhammad hits the truth
Can't escape from the common rule
If you hate something, don't you do it too...too...
Small my table, a sits just two

Got so crowded, I can't make room

Oh, where did they come from? Stormed my room!

And you dare say it belongs to you...to you...



This is not for you (3x)

Oh, not for you...ah, you...



...scream...my friends...don't call me...

...friends, no they don't scream...

...my friends don't call...my friends don't...



All that's sacred comes from youth

Dedication, naive and true

With no power, nothing to do

I still remember, why don't you...don't you...



This is not for you (3x)

Oh, never was for you...fuck you...

This is not for you...

Oh, this is not for you...yeah, you...

This is not for you...

Oh, not for you...

Oh, you...",Rock,,Pearl Jam,Not For You
TRAACMJ128F930C704,Cloud Cult,Sane As Can Be,"I guess you've been worrying about my mental stability
I may seem unusual, but there is really nothing wrong with me
I tell you my secrets, but you think that I'm boring


I tell you my secrets, but you make me feel like an idiot







Don't worry about me, I'm as sane as can be



Don't worry about me, I'm as sane as can be







Your eyes glaze over when I tell you what I'm feeling



Do I scare you? Do I annoy you? Do I make you feel uncomfortable?



I tell you my secrets but I can't help feel stupid



I tell you my secrets but you make me feel a little crazy







Don't worry about me, I'm as sane as can be



Don't worry about me, I'm as sane as can be







Giving up my philosophies for a six pack of beer and a bag of weed



Giving up my philosophies for a six pack of beer and a bag of weed



So don't worry about me, I'm as sane as can be







I've been sleeping for a million years



I will never know what woke me up and brought me here







I've been taking too much for granted



I will never kill myself again



I am a lucky one



I am a lucky one



I am a lucky one



I am a lucky one",Rock,,Cloud Cult,Sane As Can Be
TRAACPH12903CF5F14,Camera Obscura,Double Feature,"Close comes the winter
Summer is no longer
And things, they seem much bleaker
We'll see a Catherine Deneuve double feature
And our lives will fade as in darkness we will bathe

And our lives will fade as in darkness we will bathe



Double feature, you will survive

Last forever so rest your eyes

Play with words when we cannot sing

This double feature means everything",Rock,,Camera Obscura,Double Feature
TRAACZN128F93236B1,Saul Williams,Seaweed,"[Saul Williams:]
I drive a yellow Volvo
'86 submarine
Someone's behind me in an escalade trying to blind me with their high beams
I make a left
I'm the road to nowhere, heading west

The sky is purple streaks

The sun is setting in my chest

I feel warm inside

So I'm going for a ride

Put your picture on my dashboard 'till my fate and yours collides



[Mia Doi Todd:]

Seaweed... washed upon the shore...

Severed locks of he who walks the ocean's floor



[Saul Williams:]

Got a yellow Volvo

'86 submarine

Rims like Tibetan prayer wheels and my tank is filled with dreams

Fuck the game, I practice being in the passing lane

And watch the price of gasoline rise with the price of fame

I'm immortal

I render unto Caesar to be cordial

He sees a wooden casket where I see a glowing portal

Check your engine, looks like you're running on the blood of Indians

Put some turquoise in that Rolls Royce before you crash into a pendulum



[Mia Doi Todd:]

Seaweed... washed upon the shore...

Severed locks of he who walks the ocean's floor



[Saul Williams:]

I drive a yellow Volvo

'86 submarine

I drove it under water guided by my own high beams

Nothing's left

Witnessed the demolition of the west

Felt like a little kid hiding in my mothers' dress

I'm in space

The lone ambassador of every race

The starfish that discover me plant their flags into my face

I'm a clone of every written and unwritten poem

A shark pulls up beside me fingering beads and chanting ""Om""

I can't believe it

I never really thought that sharks would need it

I thought they'd made their peace: bite it, bleed it, kill it, eat it

But I was wrong

Every living being deserves a song

And our passions must be rationed 'till our rations sing along",Rap,,Saul Williams,Seaweed
TRAADCQ128F932EC14,A Fine Frenzy,The Beacon,"You say your time has come
You're tired of waking up
Don't be obscene, I can't conceive of
Living without you
You say you drag us down

No one should want you now



When I start to cry, you kiss my eyes and say

I'm not allowed to



Burning beacon in the night

Can't feel its heat, or see its light

That single solitary guide, it must get lonely there sometimes



You were a child forgot

Lessons of love untaught

Now no embrace can quite replace

The one that never found you



I was raised tenderly

All that was taught to me

I will apply, your parents tried but they didn't know how to



Burning beacon in the night

Can't feel its heat, or see its light

That single solitary guide, it must get lonely there sometimes



Let me stand by you

The honor is mine

Let me stand by you

Loneliest light, loneliest light, loneliest light



Burning beacon in the night

Can't feel its heat, or see its light

That single solitary guide, it must get lonely there sometimes",Pop,,A Fine Frenzy,The Beacon
TRAADQL128F427D281,Man Man,The Ballad Of Butter Beans,"Buttabuttabuttabuttabuttabuttabutta
buttabutta bah 
Boo Boo Bah ah 
Boo Boo Bah ah ah ah 


Buttabuttabuttabuttabuttabuttabutta

buttabutta bah 



Boo Boo Bah ah 

Boo Boo Bah ah ah ah 



It's Buttabuttabuttabuttabuttabuttabutta

buttabutta bah 



Boo Boo Bah ah 

Boo Boo Bah ah ah ah 



It's Buttabuttabuttabuttabuttabuttabutta

buttabutta bah 



Boo Boo Bah ah 

Boo Boo Bah ah ah ah 



Butter beans, I'm gonna get you

I'm gonna stick you I'm gonna take you down

[till you romp down I'm goin to hell you ride as shine 

ride you gone]



(Butter beans, I'm gonna get you, 

I'm gonna get you, I'm gonna get you) 



Buttabuttabuttabuttabuttabuttabutta

buttabutta bah 



Boo Boo Bah ah 

Boo Boo Bah ah ah ah 



Buttabuttabuttabuttabuttabuttabutta

buttabutta bah 



Boo Boo Bah ah 

Boo Boo Bah ah ah ah 



Butter beans, I know she wants you

That you'll make a lovely headdress or

A double breasted suit, whoopsie



(Butter beans, I'm gonna get you, 

I'm gonna get you, I'm gonna get you)



Cause Butter beans, you better stay sharp 

Cause I'm gonna freeze out life blood [from that black heart]

I'm gonna fry I'm gonna fry with a smile on my face 



(Butter beans, I'm gonna get you, I'm gonna get you, 

I'm gonna get you) 



You think you're so slick

I seen a million [stick cross your dell snit] 

You think you're so slick

I seen a million [stick cross your dell snit]







Buttabuttabuttabuttabuttabuttabutta

buttabutta bah 



Boo Boo Bah ah 

Boo Boo Bah ah ah ah 



Buttabuttabuttabuttabuttabuttabuttabuttabutta bah 



Boo Boo Bah ah 

Boo Boo Bah ah ah ah 



Butter beans, you go and try and hide

In the swamp grass I got swamp eyes

And I'll track you down like a bloodhound 

It's your time to die 



(Butter beans I'm gonna get you, I'm gonna get you,

I'm gonna get you)



Butter beans, you've gotten so fat

I can bet [a kill you wait across my time

And bad

top and singing and aim and I'll sin you say]



(Butter beans, I'm gonna get you, I'm gonna get you,

I'm gonna get you) 



Real thick black magic and stop the tragedy 

From happening 

Pig's feet and snake piss 

Crow tongue and cat face 

Horse tail and bone bits 

Bird's nest and gray [goose] 



All of it won't keep the tragedy from happening 

So [run]



(Ba ba ba ba

ba ba ba boom) 



(Ba ba ba ba

ba ba ba boom) 



(Ba ba ba ba

ba ba ba boom) 



(Ba ba ba ba

ba ba ba boom) 



(Ba ba ba ba

ba ba ba boom) 



(Ba ba ba ba

ba ba ba bum) 



(Ba ba ba ba

ba ba ba boom) 



(Ba ba ba ba

ba ba ba)",Rock,,Man Man,The Ballad Of Butter Beans
TRAADQX128F422B4CF,Casiotone for the Painfully Alone,Nashville Parthenon,"if you ever make it back to Nashville
remember you have still got a friend
I'll meet you at the Parthenon
that's the place we always went
it's been so dull since you left Nashville

I've read the same books again & again

it makes me wish I wasn't bashful

when it comes to other men



but if I could have my way

Darling you'd come home



remember when you moved to Nashville

& the first time that we kissed

remember when your mother found us

remember that you're sorely missed



& when you make it back to Nashville

we'll forget all of your sins

& I still buy two pairs of everything

so when you come home you & I'll be twins



because if I could have my way

I wouldn't be alone",Electronic,Rock,Casiotone For The Painfully Alone,Nashville Parthenon
TRAADRX12903D0EFE8,Riccardo Fogli,Sulla buona strada,"(M.Fabrizio/V.Spampinato)
""Sei sulla buona strada"", mi dico pensando a te
la nebbia si dirada e tutto è più chiaro in me;
sì, sulla buona strada non voglio più guerra io
né prendere per terra i pezzi di un altro addio.
Non finirà, non finirà, come una scena crollata a metà.



Io, caduto sopra il mondo

a rincorrere il grande momento;

io, a credere che il tempo

ormai non mi spezzerà mai più.



Sei sulla buona strada, due ali nei passi miei

è tempo di rialzarsi, c'è tanta fiducia ormai;

Sì, sulla buona strada, che grande occasione c'è,

la giusta direzione si traccia davanti a me.

Non finirà, non finirà come un discorso lasciato a metà.



Io, caduto sopra il mondo

a difendere il mio grande sogno;

io, a credere ogni giorno:

qualcosa succederà per noi.



Silenzi disperati, (cercando tenere parole)

noi, pensieri spaventati, (innamorati di questa vita)

noi, sorrisi appena nati che non si fermano più, mai più.



Io, a credere ogni giorno:

qualcosa succederà per noi.",Pop,Rock,Riccardo Fogli,Sulla buona strada
TRAADSV128F42BC36A,Aldo Nova,Always Be Mine (Album Version),Let's talk it over now we both have alot to say,Rock,,Aldo Nova,Always Be Mine
TRAADUU128E0791BF5,Sandy Denny,Bushes And Briars,"I can't believe that it's so cold
And there ain't been no snow.
The sound of music it comes to me
From every place I go.
Sunday morning, there's no one in church,
But the clergy's chosen man

And he is fine I won't worry about him.

Got the book in his hand.



Oh, there's a bitter east wind, and the fields are swaying,

The crows are round their nests.

I wonder what he's in there saying

To all those souls at rest.

I see the path which lead to the door,

And the clergy's chosen man.

Bushes and briars

You and I,

Where do we stand?



I wonder if he knows I'm here,

Watching the briars grow.

And all these people beneath my shoes,

I wonder if they know.

There was a time when every last one,

Knew a clergy's chosen man.

Where are they now?

Thistles and thorns,

Among the sand.



I can't believe that it's so cold

And there ain't been no snow.

The sound of music it comes to me

From every place I go.

Sunday morning, there's no one in church,

But the clergy's chosen man

Bushes and briars,

Thistles and thorns

Upon the land.",Folk,,Sandy Denny,Bushes And Briars
TRAADVH128EF34DE7A,New York Dolls,Human Being (1972 demo),"Well if you don't like it
Go ahead, find yourself a saint
go ahead now,
Try to find a boy
who's gonna be what I ain't
now what you need is

A plastic doll with a fresh coat of paint

Who's gonna sit through the madness

And always acts so quaint

Said yeah yeah yeah



With your new friend

You're really making a scene

And I see you bouncing around

From machine to machine

And you know

They're never real, they're

Never what they seem

And you can try to generate some warmth

And you see just what I mean

I said yeah yeah yeah



And If I'm acting like a king

Well that's cause I'm a human being

and if I want too many things

don't you know that

I'm a human being

and if I've got to dream

baby baby baby yeah

I'm a human being

and when it gets a bit obscene

(wooah) I'm a human being



And I've just got to go around

With my head hung down

Just like a human, babe,

An unknown human being

And I can hold my head so high

Cause I'm a human, a riff raff human being



why won't you give me a little sip

why don't you try me on a drag of that cigarette

why don't you try to give me something

that I will never ever forget

but now don't you blow it all

on a million dollar bet

because you're liable to lose it

on the best lovin' you've had yet

I'm beggin yeah yeah oh yeah



And If I'm acting like a king

Well that's cause I'm a human being

I want too many things

Don't you know that

I'm a human being

And if I've got to dream

I said well, I'm a human being

And when it gets a bit obscene

(wooah) I'm a human being



And I've got to go around

With my head hung down

Just like a human, babe

An unknown human being

and I can hold my head so high

Cause I'm a human, a riff raff human being



In fact I'm talking about the human race

You're trying to cover up the big disgrace

I said yeah yeah yeah,

Oh C'mon C'mon C'mon



Yeah, yeah, oh yeah

Well I may think that this whole scene is just a

Too appalling for me

Or I may be the type who's just a mad about

Every little thing that I see

Well I can color that with mystery

Or make it just what I want it to be

While I'm blowing my change on the fan magazines

With all the Hollywood refugees, screaming

Yeah yeah, oh yeah



And If I'm acting like a king

I said well, I'm a human being

And if I want too many things

don't you know that

I'm a human being

And if I've got to dream

Baby baby, I'm a human being

And when it gets a bit obscene

(wooah) I'm a human being

And I've got to go around

With my head hung down

Just like a human being

We're all just human being

And I can hold my head so high

Cause I'm a human, a first class human being



I'm a human being

I'm a human being

I'm a human being

I'm a human being",Rock,Punk,The New York Dolls,Human Being
TRAADVO128E07999E9,Jamie Cullum,Oh God,"I know it's been a while since I spoke to you
Maybe you're the one who makes the winds blow
Lookin' at the stars with no explanation
We contemplate as kings and civil men on trial
Our little worlds fragile

Oh God can you tell us when its going to start

Maybe its not just down to you

oh god can we win back what we have lost

To who's the lost resort, Oh God



Tumbling towards unclear destinations

Do they wash away the flames the wind and the searing rains

As our powers interchange



Oh God can you tell us when its going to start

Maybe its not just down to you

Oh God can we win back what we have lost

To who's the lost resort, oh God



Oh God can you tell us when its going to stop

Maybe it's not just down to you

Oh God can we win back what we have lost

To who's the lost resort



(Thanks to Marieke for these lyrics)",Jazz,,Jamie Cullum,Oh God
TRAADYB128F92D7E73,Eliane Elias,The More I See You,"The more I see you, the more I want you
Somehow this feeling just grows and grows
With every sigh I become more mad about you
More lost without you and so it goes

Can you imagine how much I love you?

The more I see you as years go by

I know the only one for me can only be you

My arms won't free you, my heart won't try



The more I see you, the more I want you

Somehow this feeling just grows and grows

With every sigh I become more mad about you

More lost without you and so it goes



Can you imagine how much I love you?

The more I see you as years go by

I know the only one for me can only be you

My arms won't free you, my heart won't try

Can you imagine how much I love you?",Jazz,,Eliane Elias,The More I See You
TRAAEEH128E0795DFE,Chris Rea,Driving Home for Christmas,"I'm driving home for christmas
Oh, I can't wait to see those faces
I'm driving home for christmas, yea
Well I'm moving down that line
And it's been so long
But I will be there

I sing this song

To pass the time away

Driving in my car

Driving home for christmas



It's gonna take some time

But I'll get there

Top to toe in tailbacks

Oh, I got red lights on the run

But soon there'll be a freeway

Get my feet on holy ground



So I sing for you

Though you can't hear me

When I get trough

And feel you near me

I am driving home for christmas

Driving home for christmas

With a thousand memories



I take look at the driver next to me

He's just the same

Just the same



Top to toe in tailbacks

Oh, I got red lights on the run

I'm driving home for christmas, yea

Get my feet on holy ground

So I sing for you

Though you can't hear me

When I get trough

And feel you near me

Driving in my car

Driving home for christmas

Driving home for christmas

With a thousand memories",Pop,Rock,Chris Rea,Driving Home For Christmas
