title,artist,lyrics,genre
sane as can be,cloud cult,guess worrying mental stability may seem unusual really nothing wrong tell secrets think im boring tell secrets make feel like idiot worry me im sane worry me im sane eyes glaze tell im feeling scare you annoy you make feel uncomfortable tell secrets cant help feel stupid tell secrets make feel little crazy worry me im sane worry me im sane giving philosophies six pack beer bag weed giving philosophies six pack beer bag weed worry me im sane ive sleeping million years never know woke brought ive taking much granted never kill lucky one lucky one lucky one lucky one ,rock
double feature,camera obscura,close comes winter summer longer things seem much bleaker well see catherine deneuve double feature lives fade darkness bathe lives fade darkness bathe double feature survive last forever rest eyes play words cannot sing double feature means everything ,rock
seaweed,saul williams, drive yellow volvo 86 submarine someones behind escalade trying blind high beams make left im road nowhere heading west sky purple streaks sun setting chest feel warm inside im going ride put picture dashboard till fate collides seaweed washed upon shore severed locks walks oceans floor got yellow volvo 86 submarine rims like tibetan prayer wheels tank filled dreams fuck game practice passing lane watch price gasoline rise price fame im immortal render unto caesar cordial sees wooden casket see glowing portal check engine looks like running blood indians put turquoise rolls royce crash pendulum seaweed washed upon shore severed locks walks oceans floor drive yellow volvo 86 submarine drove water guided high beams nothings left witnessed demolition west felt like little kid hiding mothers dress im space lone ambassador every race starfish discover plant flags face im clone every written unwritten poem shark pulls beside fingering beads chanting om cant believe never really thought sharks would need thought theyd made peace: bite it bleed it kill it eat wrong every living deserves song passions must rationed till rations sing along ,rap
the beacon,a fine frenzy,say time come tired waking obscene cant conceive living without say drag us one want start cry kiss eyes say im allowed burning beacon night cant feel heat see light single solitary guide must get lonely sometimes child forgot lessons love untaught embrace quite replace one never found raised tenderly taught apply parents tried know burning beacon night cant feel heat see light single solitary guide must get lonely sometimes let stand honor mine let stand loneliest light loneliest light loneliest light burning beacon night cant feel heat see light single solitary guide must get lonely sometimes ,pop
the ballad of butter beans,man man,buttabuttabuttabuttabuttabuttabutta buttabutta bah boo boo bah ah boo boo bah ah ah ah buttabuttabuttabuttabuttabuttabutta buttabutta bah boo boo bah ah boo boo bah ah ah ah buttabuttabuttabuttabuttabuttabutta buttabutta bah boo boo bah ah boo boo bah ah ah ah buttabuttabuttabuttabuttabuttabutta buttabutta bah boo boo bah ah boo boo bah ah ah ah butter beans im gonna get im gonna stick im gonna take buttabuttabuttabuttabuttabuttabutta buttabutta bah boo boo bah ah boo boo bah ah ah ah buttabuttabuttabuttabuttabuttabutta buttabutta bah boo boo bah ah boo boo bah ah ah ah butter beans know wants make lovely headdress double breasted suit whoopsie cause butter beans better stay sharp cause im gonna freeze life blood im gonna fry im gonna fry smile face think slick seen million think slick seen million buttabuttabuttabuttabuttabuttabutta buttabutta bah boo boo bah ah boo boo bah ah ah ah buttabuttabuttabuttabuttabuttabuttabuttabutta bah boo boo bah ah boo boo bah ah ah ah butter beans go try hide swamp grass got swamp eyes ill track like bloodhound time die butter beans gotten fat bet real thick black magic stop tragedy happening pigs feet snake piss crow tongue cat face horse tail bone bits birds nest gray keep tragedy happening ,rock
nashville parthenon,casiotone for the painfully alone,ever make back nashville remember still got friend ill meet parthenon thats place always went dull since left nashville ive read books & makes wish bashful comes men could way darling come home remember moved nashville & first time kissed remember mother found us remember sorely missed & make back nashville well forget sins & still buy two pairs everything come home & ill twins could way alone ,electronic
sulla buona strada,riccardo fogli, sei sulla buona strada mi dico pensando te la nebbia si dirada e tutto e piu chiaro me; si sulla buona strada non voglio piu guerra io ne prendere per terra pezzi di un altro addio non finira non finira come una scena crollata meta io caduto sopra il mondo rincorrere il grande momento; io credere che il tempo ormai non mi spezzera mai piu sei sulla buona strada due ali nei passi miei e tempo di rialzarsi ce tanta fiducia ormai; si sulla buona strada che grande occasione ce la giusta direzione si traccia davanti me non finira non finira come un discorso lasciato meta io caduto sopra il mondo difendere il mio grande sogno; io credere ogni giorno: qualcosa succedera per noi silenzi disperati noi pensieri spaventati noi sorrisi appena nati che non si fermano piu mai piu io credere ogni giorno: qualcosa succedera per noi ,pop
always be mine,aldo nova,lets talk alot say ,rock
bushes and briars,sandy denny,cant believe cold aint snow sound music comes every place go sunday morning theres one church clergys chosen man fine worry him got book hand oh theres bitter east wind fields swaying crows round nests wonder hes saying souls rest see path lead door clergys chosen man bushes briars i stand wonder knows im here watching briars grow people beneath shoes wonder know time every last one knew clergys chosen man now thistles thorns among sand cant believe cold aint snow sound music comes every place go sunday morning theres one church clergys chosen man bushes briars thistles thorns upon land ,folk
human being,the new york dolls,well like go ahead find saint go ahead now try find boy whos gonna aint need plastic doll fresh coat paint whos gonna sit madness always acts quaint said yeah yeah yeah new friend really making scene see bouncing around machine machine know theyre never real theyre never seem try generate warmth see mean said yeah yeah yeah im acting like king well thats cause im human want many things know im human ive got dream baby baby baby yeah im human gets bit obscene im human ive got go around head hung like human babe unknown human hold head high cause im human riff raff human give little sip try drag cigarette try give something never ever forget blow million dollar bet liable lose best lovin yet im beggin yeah yeah oh yeah im acting like king well thats cause im human want many things know im human ive got dream said well im human gets bit obscene im human ive got go around head hung like human babe unknown human hold head high cause im human riff raff human fact im talking human race trying cover big disgrace said yeah yeah yeah oh cmon cmon cmon yeah yeah oh yeah well may think whole scene appalling may type whos mad every little thing see well color mystery make want im blowing change fan magazines hollywood refugees screaming yeah yeah oh yeah im acting like king said well im human want many things know im human ive got dream baby baby im human gets bit obscene im human ive got go around head hung like human were human hold head high cause im human first class human im human im human im human im human ,rock
oh god,jamie cullum,know since spoke maybe one makes winds blow lookin stars explanation contemplate kings civil men trial little worlds fragile oh god tell us going start maybe oh god win back lost whos lost resort oh god tumbling towards unclear destinations wash away flames wind searing rains powers interchange oh god tell us going start maybe oh god win back lost whos lost resort oh god oh god tell us going stop maybe oh god win back lost whos lost resort ,jazz
the more i see you,eliane elias,see you want somehow feeling grows grows every sigh become mad lost without goes imagine much love you see years go know one arms free you heart try see you want somehow feeling grows grows every sigh become mad lost without goes imagine much love you see years go know one arms free you heart try imagine much love you ,jazz
driving home for christmas,chris rea,im driving home christmas oh cant wait see faces im driving home christmas yea well im moving line long sing song pass time away driving car driving home christmas gonna take time ill get top toe tailbacks oh got red lights run soon therell freeway get feet holy ground sing though cant hear get trough feel near driving home christmas driving home christmas thousand memories take look driver next hes top toe tailbacks oh got red lights run im driving home christmas yea get feet holy ground sing though cant hear get trough feel near driving car driving home christmas driving home christmas thousand memories ,pop
four letter word,raheem devaughn,taste sweet melodies every time kiss yearn toss turn every time find missing rain falls sound wet feel wet aint inside skin silhouette stroke finger tips cause hope prototype makings real deal see time time since came around recognize feel old four letter word feel you touch yeah old four letter word taste kiss yeah old four letter word recognize familiar yeah old four letter word love love love love love love love feel sexy confident illuminate eyesight feel speechless spellbound whats use even tryin put fight let guards persuaded u im it played cards; found higher ground higher place see time time know u been waitin ya welcome back hope stay stay always about sing about even write ya know ya till ya slipped away old four letter word feel you touch yeah old four letter word taste kiss yeah old four letter word recognize familiar yeah old four letter word love love love love love love love time time time time time time time time time time time time time time time time time time time time time time time time time time time time time time time time ,rnb
too much saturn,francis dunnery, always believed ran india wore sandals shaved head used body shop conditioner incense like crazy could call spirit head went india look top wore sandals cause id smoked money shaved hair cause fleas id sleeping body shop conditioner present friend incense used hide smell drug den lay ask motives lying need look free tell real honestly admit to open door said im gonna find im said id find soon got much saturn enough moon always believed never missed yoga class read horoscope dailies recycle bottles know red indian could call spirit man yoga cause fancied teacher stars cause looked good paper went church cause granny gave money confession knew indian cause brothers dealer bottles price return could go play oh ask motives lying need look free tell real honestly admit to open door said im gonna find im said id find soon got much saturn enough moon know love see im scared good man deep deep man admit to open door said im gonna find im said id find soon got much saturn admit it open door said im gonna find im said id find soon got much saturn enough moon ,rock
wicker chair,kings of leon, little white wicker chair unsuspicious nobody cares fucked laugh nothin pouring rain try tell insane fool hate sometimes hey know aint coincidental lost place drippin face losin precious mind send postcard get far got couple pennies rusty jar truth gone awhile hard lookin look way one night stands sleep days ooh slut sometimes hey know aint coincidental lost place drippin face losin precious mind losing mind ,rock
theres glory in your story,idlewild,felt alone put new shoes hit town still felt alone im convinced everyones built put say wanted say say going stay felt alone independence day comes still felt alone ten times thought id almost found sometimes simple chords best simple approach best makes sense makes sense felt alone failed blake knocked ground still felt alone attempts chivalry fell without sound felt alone put new shoes leave town still felt alone im convinced everyones built put simple chords best sometimes simple approach best makes sense makes sense ,rock
one last time,the kooks,hold one last time fight feeling growing mind know us wrong know im always strong abcdef g oh reminds free life began tear us apart remember classes thought smart ooooooooh ooooooooh lovers every way left school together went back place hardly remember face met sad ooooooooh ooooooooh hold one last time fight feeling growing mind ,rock
stickin in my eye,nofx,look round see outta one eyeas smoke surrounds head saunai hear voices cant make hteir wordssaying things saying things thati got something stickin eyegot something stickin eyegot something stickin eyei feel unusual thinkingabout underground decay god help mekill beneath camera watch world begins cryits pitty comes fromwhats stickin eyegot something stickin eye ,punk
1000 meere,tokio hotel,die strassen leer ich stell mich um die nacht hat mich verlorn ein kalter wind die welt erstarrt die sonne ist erfrorn dein bild ist sicher ich trags mir uber 1000 meere zuruck zu dir zuruck zu uns wir durfen unsern glauben nicht verliern vertrau mir wir mussen nur noch 1000 meere weit 1000 dunkle jache ohne zeit 1000 sterne ziehn vorbei wir mussen nur noch 1000 meere weit noch 1000 mal durch die unendlichkeit dann sind wir endlich frei irgendwo ist der ort denn nur wir beide kenn lief alles anders als gedacht der puls den adern ist viel zu schwach doch irgendwie schlagen uns die herzen durch die nacht vertrau mir niemand und nichts nehmn wir mit und irgendwann schaun wir auf jetzt zuruck 1000 meere weit 1000 jahre ohne zeit 1000 meere weit 1000 sterne ziehn vorbei vorbei lass dich zu mir treibn ich lass mich zu dir treiben wir mussen nur noch 1000 meere weit 1000 dunkle jahre ohne zeit 1000 sterne ziehn vorbei wir mussen nur noch 1000 meere weit noch 1000 mal durch die unendlichkeit dann sind wir frei lass dich zu mir treiben ich lass mich zu dir treiben 1000 meere weit ,pop
sold,imperanon, betrayed lost feeling cheated pain overwhelming cant see dead me feel pain inside me come far failed see sold world lost feeling more numbness overtaking cold draining life feeling lost end me made far blind come far feel weak end me end everything ,metal
astair,matt costa,astair glare killing astair skies blue signs wear making confused mountains trees need less expect see leaving well come give reason let turn around now turn around astair im still swear im confused signs wear making feel like im one lose canyons seas need less expect see leaving well come give reason let turn around now turn around mountains trees perceive less expect see leaving well come give reason let turn around now turn around turn around ,rock
close your eyes,jump_ little children,tell bad dreams last night cause rolling sleep tell hate bright street lights sometimes shadows give creeps chorus please close eyes please want say please close eyes please keeps awake tell air heres thin cant feel wind moves tell stars made tin theyre banging roof chorus sun rise keep mind ease close eyes chorus please ,rock
easy love,bucks fizz,change world you waiting dark hoping call til morning comes never ending lie hell look eyes say love still alive shell turn run says way think were gonna go think wanna know easy love meanin oh easy love ah feelins easy love waiting train cold windy night cos lost fight shell back cries one rainy day fooled like anyway need easy love meanins oh easy love ah feelins easy love easy love easy love kills words love easy love easy love kills words love easy love easy love kills words love easy love easy love kills words love easy love easy love meanin easy love ah feelins easy love meanins oh easy love meanin love ,pop
mayday,gene,were guilty charged staring us face missed last chance bevan spins round grave time charge gates were guilty charged theres love left left were guilty charged party close death slowly moving west come play part were crying mayday come play part heart like shark were crying mayday come play part were guilty charged let mandelson infiltrate were guilty charged calling bucket spade thought made come play part were crying mayday come play part heart like shark were crying mayday come play part surely nows time see eyes left behind right must denied surely nows time come join people need see new enemy ,rock
logic,operator please,im giving all encapsulate signs give talk dissect distract mind im hitting wall crashed right core watching stall still push blade let slide got brain ill let slide blade let slide got brain ill let slide im giving all ill erase old give talk ordered speech go im hitting wall im never sure watching stall watch push hands stained soul chained mind made heart tame chopped changed messed game hands stained soul chained mind made heart tame chopped changed messed game im taking side battle royale taking light see knives find way call draw know decide put hold blade let slide got brain ill let slide blade let slide got brain ill let slide hands stained soul chained mind made heart tame chopped changed messed game hands stained soul chained mind made heart tame chopped changed messed game blade let slide got brain ill let slide im giving all ill erase old give talk ordered speech go im hitting wall im never sure watching stall watch push hands stained soul chained mind made heart tame chopped changed messed game hands stained soul chained mind made heart tame chopped changed messed game ,rock
lets get it started,black eyed peas,lets get started here bass keeps runnin runnin runnin runnin runnin runnin runnin runnin runnin runnin runnin runnin runnin runnin runnin runnin context theres disrespect bust rhyme break ya necks got five minutes us disconnect intellect let rhythm effect lose inhibition follow intuition free inner soul break away tradition cause out girlies pull heat believe wow shit burnin til burned out turn til turned act north west east south everybody everybody get get stupid get started get started get started lets get started lets get started lets get started lets get started lets get started lets get started lets get started lets get started yeah lose control outta soul move fast people take slow get ahead jump yall hear it peas get started get stupid worry it people walk step step like new kid inch inch new solution transmit hits delusion feelings irresistible thats move everybody everybody get get stupid get started get started get started lets get started lets get started lets get started lets get started lets get started lets get started lets get started lets get started yeah runnin runnin runnin runnin runnin runnin cmon yall lets get uh huh lets get wild out get uh huh lets get wild out get uh huh lets get ohh ohh ohh yayayayayayaya yayayaya yayayayaya lets get ill thats deal ap gate bring thugged drill lose mind time yall cant stand still trust bang spine bob head like me aplde inside club bentley get messy loud sick mind pass normal another head trip so come now correct lets get ignorant lets get hectic everybody everybody get get stupid get started get started get started lets get started lets get started lets get started lets get started lets get started lets get started lets get started lets get started yeah get uh huh lets get uh huh wild out get uh huh ohh ohh ohh yayayayayayaya yayayaya yayayayaya runnin runnin runnin runnin runnin runnin runnin runnin runnin ,pop
metal,nine inch nails,let violate you let desecrate let penetrate you let complicate help broke apart insides help ive got soul sell help thing works me help get away want fuck like animal want feel inside want fuck like animal whole existence flawed get closer god isolation hate brings absence faith everything help tear reason help sex smell help make perfect help become somebody else want fuck like animal want feel inside want fuck like animal whole existence flawed get closer god every forest trees within stomach scraped knees drink honey inside hive reason stay alive ,electronic
puppets of war,chron gen,might well stay unemployed cos pretty soon life void mouthy leader needs well victims world war 3 were puppets war waiting call door powers prepare war were given propaganda bore moscow olympics afghanistan conscription every able man bomb dropped better decide world gonna hide cos comes choos win lose ,punk
its my party,lesley gore,nobody knows johnny gone judy left time holding hand hes supposed mine party ill cry want cry want to cry want would cry happened playin records keep dancin night leave alone till johnnys dancin ive got reason smile party ill cry want cry want to cry want would cry happened judy johnny walked door like queen king oh birthday surprise judys wearin ring party ill cry want cry want to cry want would cry happened ,pop
coffee homeground,kate bush,cellar getting making poison slipped side glass wine want coffeehomeground offer chocolate thank you spoil diet know game tell come smell bitter almonds nono coffee homeground pictures crippin lipsticksmeared torn wallpaper walls got ears here well get belladonnain coffee get aresenicin pot tea get hole rotwith hemlock rocks plumbers went amissing monday tall man companion bet gave coffeehomeground maybe lonely want little company keep recipes rats eat may rest peace coffee homeground well get belladonnain coffee get aresenicin pot tea put sixfoot plotwith hemlock rocks get belladonnain coffee get aresenicin pot tea get hole rotwith hemlock rocks hemlock rocks noch ein glas mein liebchen* hemlock rocks es schmeckt wunderbahr* hemlock rocks und ,rock
you can,david archuleta,mmmmm take ive never been help feet again show good things come wait tell im own tell alone tell im feelin mistake cause anyone make fall love can save myself can one else could wish upon tomorrow tonight would never end asked me would follow now pretend cause anyone make fall love can baby look me tell me see eyes someone could love cause everything brought here well seems clear baby one ive dreamin of anyone make fall love can save myself can one else could wish upon tomorrow tonight would never end asked me would follow now pretend cause anyone make fall love take sailin deepest eyes bring knees make cry ones ever done this everything lie know yes know begins tell itll never end cant fool myself one else could wish upon tomorrow tonight would never end asked me would follow now pretend anyone make fall love can show good things come wait ,pop
indian love call,slim whitman,oooooooo oooooooo im calling oooooooo oooooooo answer too oooooooo oooooooo means offer life refuse blue waiting alone hear love call ringing clear oooooooo oooooooo hear answering echo dear oooooooo oooooooo know love become true belong ill belong know love become true belong ill belong ,country
you can still be free,savage garden,cool breeze autumn leaves slow motion daylight lone pair watchful eyes oversee living feel presence around tortured soul wound unhealing regrets promises past gone still free time set free time spread wings take flight life endeavour aim burning sun trapped inside still free time set free long long way go keep moving way high see light shines forever sail crimson skies purest light light sets free time set free sail wind rain tonight free fly tonight still free time set free going higher mountain tops go high like wind stop go high free fly tonight free fly tonight ,pop
i never came,queens of the stone age,say dead & gone know wrong cut & slash sharpest knife die poison cup drank die fire gun rope stone die gotta shove face put place cause care wrong right aint gonna spend another night bed laws man pretend aint mine love good love bad die talk long know smile & move words aint free like & dont mind whyd mean & cruel dogs loose im ball & chained together dawn dusk cant call leavin cause never came ,rock
climb to safety,widespread panic,hear hear comin like train control surely leaves wonderin exactly ticket goes scream conductor hes deaf 20 years hear people laughin grinds began go grab nerve find missin see lost faith everyone know well surely hope dont plan winnin theres payin attention care seconds impact movin way slow say time surely mold somethin dont like runnin like rabbit stick finger dyke look around room find bed peelin effective skin fallin bones well must admit know feelin must grab eachothers collar must rise water know well fun die alone ive one matters never left dark hear water risin let ladder promise dry never alone tell love always scared like things bed baby walk water like junkies swore call phone say crucial stick fingers ears till explode mind business roll along usual must grab eachothers collar rise water know well fun die alone ive one matters never left dark hear water risin let ladder promise dry never alone ive one matters never left dark hear water risin let ladder promise dry never alone yeah yeah climb saftey whoa whoa climb saftey yeah yeah climb saftey ,rap
im cool,reel big fish,know im cool guys wanna friendand every little girl herethey wanna hold handbut stole songsim probobly gonna get suedthats allrightas long get screwedyea yea yea mabey come see us get real bigmabey see us ever get another gigcause theres many fish seaand look like meim little tiny fish thats ill ever be ,rock
run for your life,riot,see trouble coming trying change ways take little piece me squeeze blood remains joke jive fool you slip sugar past nose hope said done slip overdose run life run life run life run life run life run life theyre fooling mothers son im screaming someone whose life aint run know looking for cant get enough trapped inside caged mind playing ready rough run life run life run life run life run life run life better run run run better run run run better run yes loving dirty tricks proved left scar want licks victim blind disease tears help you cause want knees run life run life run life run life run life run run life ,metal
folding stars,biffy clyro,take long hard look end blood drips like red inverted balloons tomorrow promise noone want follow ill lead inside run hide eleanor eleanor would anything another minute getting easier getting easier bedroom windows doors happy people crying cant hold gaze second two always ends total darkness eleanor eleanor would anything another minute getting easier gettig easier folding stars cant even understand getting easier getting easier ends place love hate mirror reflecting truth eyes face cant wash away cold cold heart hope folding stars ,rock
wkya ,redman, yeahhh ahahaha lyricist lounge yo comin live live live live onetwo onetwo onetwo onetwo onetwo onetwo broadcastin live wky a sadog place uhh yo yo get prepared doublehomicidal spit reality rare got thinkin another galaxy opened whole bottle throttle whoopass one blast im spillin mas clamato hang black tahoe animated like john bravo four fingers stuck five hoes given chickenhead ridin shotgun took lesson knockboots popped em doc place bets im live d88 cassette im low think neighbors met raisinette sized hoes avirex like interracial relationships its rare mooley cant nar kid fifth grade infrared toolie im hardheaded check sun like coneda sick flows stay ridin paramedics fuck bitches freaky like albino winos five hoes high taebo fine flows paint pictures scary motherfuckers say sauk spittin obituaries verses viruses get it mic like pussy tight im paid hit get dough im real jiggalo nigga deuce bigalow temporary switchin like seasons change team rearrange bring whole decade rain bite steel jaws of life get rocked doc sauk the mic broads used say redman listen whipped cause im bed kissin kim hips guerilla color nail skin dipped hair get bears box em im d similar michigan im hittin pussy yall babysittin thats hoes wanna flatten michelins front house with fuck signs picketin punkin fight dog aint us clean teeth timberlands brush stretch body like jack lalanne oj attitude doc carry gloves remember me docs da name brick city tdot padlock game reigns doc big sauk blame herbie hancock mcs rockin kickin ass wkya kickin ass wkya say feel good ya say feel good ya say feel good ya yo exclusive wkya hey dj dj dj dj slice one two hiphop unions favor cuttin aphrodis fo scheez found slut soon find frame strong enough cut two im overstoked plus im airin dudes metaphors sicker microwaved airplane food dare take two pulls blunt red rolled head full mariwheniburyone wack nigga chasin clout thing tryin bling knocks ring yo e turn niggaz doubtin bout bust blows movin without sauk watch two arms drop bombs entourage fuck you beef love jump matter hood doc stompin look done dog bumba claat fucked trunk aunt garage thought clap guns guns applaud fuck guns palm guard whether live die god guerilla tactics way i fuck broad robbin me might be hospital iv stuck arm finish off might be better yet watch front watch die cheap watch want is shells shotty comin next time get stuck accupunct ,rap
embraceable you,bud powell,embrace me sweet embraceable you embrace me irreplaceable you one look heart grew tipsy me alone bring gypsy me love all many charms you all want arms you naughty baby come papa come papa do sweet embraceable you ,jazz
speed of sound,chris bell,remember first time said loved waited weekend never called find attractive like excitement could count kiss goes love grows gone lonely existence well lie reason id like know something want know ive told want see let broke heart turned round theres light darkness seem far theres something matter thats brought us ajar plane goes land pilots dead nowhere found ,rock
