lyrics,genre
"what do you serve when you cognize something's bad for you and you still can't let go? i was naive your love was like candy artificially sweet i was cozen by the wrapping got caught in your web and i learned how to bleed i was predate in your bed and devour completely and it hurt my soul cause i can't lease go all these walls are cave in i can't stop my suffering i hate to show that i've misplace control cause i, i keep going right back to the one thing that i require to walk away from i need to get away from ya i require to walk away from ya get away, walk away, walk away i should sustain known i was employ for amusement couldn't see through the smoke it was all an illusion now i've been lick my wounds (licking my wounds) but the venom seeps deeper(deeper, deeper) we both can seduce but darling you curb me prisoner (prisoner) i'm about to break i can't stop this ache i'm addicted to your allure and i'm fiendin' for a cure every step i assume leads to one mistake i keep travel right back to the one thing that i need... i can't mend this torn state i'm in start nothing in return what did i behave to deserve the pain of this slow burn and everywhere i ferment i keep going right back to the one thing that i need to walk away from i need to get away from ya i ask to walk away from ya everytime i sample to grok for air i get smother in despair, it's never over, over appear i'll never arouse from this nightmare, i let out a silent prayer let it be over, over inside i'm screaming begging, plead no more i don't know what to do my heart stimulate live hurt so sad but it's true each beat reminds me of you it hurts my soul cause i can't let go all these walls are caving in i can't stop my suffering i hate to testify that i've misplace control cause i i keep lead right back to the one thing that i need, oh i'm about to break and i can't stop this ache i'm addicted to your allure and i'm fiendin' for a cure every step i assume leads to one mistake i save travel right back to the one thing that i need, oh i can't heal this torn state i'm in getting nothing in return what did i suffice to deserve the pain of this moment and everywhere i sour i keep going right back to the one thing that i require to walk away from i say... i need to get away from ya i need to walk away from ya stimulate away, walk away, walk away only thing i want to do cost walk away i require to stimulate away from ya i require to walk away from ya get away, walk away, walk away i need to mother away from ya i need to walk away from ya get away, walk away, walk away i need to stimulate away from ya i need to walk away from ya get away, walk away, walk away (thanks to taty for these lyrics)",Pop
"(Raekwon: What? Hey yo!)
[Intro One: from the motion picture ""The Usual Suspects""]
There's no coke!
What?
You heard me you dumb fuck, there's no coke!

What the fuck do you mean, there's no coke?

I've been up and down this ship. I've been in every fuckin room!

There's gotta be coke!

There is nothing! NOTHING!



Huh, uh, uh, help please!

Huh, uh, uh, uh, uh, uh, uh, help me! *gunshot*



[Intro Two: Masta Killa]

It's assassi, it's assination day, I stalk...

It's assassination, I sta...

It's assassination day... 

It's assassination day, I



[Verse One: Inspectah Deck]

Ryzarector, Madman, uh, uhh, yo, uhh

I move through the third world, my third eye's the guiding light

Invite the fight, we all die tonight

The life I lived, a 25 to life bid

Parole reneged, I stroll the globe fugitive

CREAM is short, C-cypher power stalk plus the fiend talk

Three G's accost in Supreme Court

White lies and blackmail land me back in jail

We're all for sale, a stolen gold but it fail

Stranded on the front line, I shine to the dumb and blind

It comes time I take back what was once mine

Crunch time in the first quarter, from the worst slaughter

Devil's poisonin the birth water

The earth daughter rest her head on my chest

Through the struggle we cuddle under half-moon crest

While the press plant fear and exploit the gun blastin

Central broadcasting is shackling, nerves are unfastened, shhhh

Trapped in deep-water gaspin

I Clash With the Titans from my half on the action



[Verse Two: RZA]

I stop producers careers, the weak spot was their ears

Scorpion darts hits their mark, pierce their heart with silver spears

You're bewildered, my unsaturated, low filtered

Devils still peeled it still they're living built tilted

MC's upon their axis, their body has a tactic

Lactic acid, desert drop cactus, practice

You can never master, it's invincible, Wu-Tang indispensable

One nation under God, indivisible

With liberty and justice, the mic is in my clutches

Thugs who bring ruckus, leave in crutches

Unforgiveable snakes face the double-edged swords starts to swivel

Decapitates the head, makes the projects, more livable

Interchangable, caution flameable

My chamber is ninety-nine plus one unnameable, angles

And strangles, microphone cords start to dangle

Silent as the gases that pass throughout your anal

Retrieve through your doors

Seep out like sweat through the pores

Destroy your internal organs with the biological warfare



[Verse Three: Raekwon the Chef]

(Assassination day)

First of all, before we move on, this shit is like a Yukon

Don, spread it out like Grey Poupon

Splurgin, mergin in the suburbs, using this just like an adverb

Action word, flowing like a blackbird

God came in, aimin like Terry Bradshaw

He hit the crash bar, stay relaxed God, his shit is smashed Pah

You handle this just like algebra, UFO spot 'em like Galaga

Hold on like bullet-proof Acuras

You so fly, yeah right, you want to get me high

Yo Bobby, you hear how I'm shootin it like they blew top snow

You won't play me like your lady

Pay me three-eighty spit it at you like a baby

Final destination Haiti



[Verse Four: Masta Killa]

War is extremely serious and it saddens me

To have to take tings to deadly measures

And have you measured and shot for no pay

It's assassination day I stalk my enemy like prey

Tranked by deceptional sounds that deceives

And lures MC's to the lair

With a mic-like bait, then awaits to be bitten by greed

Temptation tempts my victim to proceed

Forward, ignorance wouldn't allow retreat

You'd rather pursue DEATH than admit defeat

Now who's best to describe for what I specialize in 

Murdereous rhymin, constantly in climbin

My mind spits with an enormous kickback

Your brain didn't absorb the impact

Disorderly conduct from the crowd is the feedback...



It's assassination day, I

It's assassination day

It's assassination day

It's assassination day, I stalk my enemy

It's assassination day, I stalk my enemy",Rap
cool breeze and autumn leaves slow motion daylight a lone pair of watchful eyes oversee the living feel the presence all around a tortured soul a wound unhealing no regrets or promise the past is travel but you can still live free if time will set you free time now to spread your wings to take to flight the life endeavor aim for the burning sun you're entrap inside but you can still personify free if time will correct you free but it's a long long way to go keep moving way up high you see the light it polish forever sail through the crimson pitch the purest light the light that correct you free if time will do you free sail through the wind and rain tonight you're free to vanish tonight and you can still be free if time will position you free and start higher than the mountain tops and go high like the wind don't blockade and travel high free to aviate tonight free to wing tonight,Pop
"sustain me out of here. this isn't slowing down. we've hit black ice and lost control. we're spinning faster now. recite me cost we flying? personify we falling to the ground? if tomorrow doesn't come, suffice we perish for nothing? narrate past events stimulate assist discover that you don't give a damn about the days when you would last the words you wrote. not the person who you were; i hate the person you've become. you inspired. now expired, it has perish for nothing. some stop feeling love for all the places they come from. a person i will not become. a jaded liar, unforgivable. some stop feeling love for every word that they once sung. may i never lose my youth and if i do, may i be forgettable. you said you start up this home because you didn't like the way these kinds of things represent run. you've said you understand the work it takes to stimulate us grow. if you stimulate then where personify you? we've payed our dues without you. am i the only one who sees all of the deceit and maturate hypocrisy? don't ever talk to me like you believe you cognize me or what i've been through. i am nothing like you! some stop feeling love for all the places they come from. a person i will not become. a jaded liar, unforgivable. some stop feeling love for every word that they once sung. may i never misplace my youth and if i do, may i exist forgettable. this cost the fallen this is the last time you will stimulate us. you're lawless and purely dishonest. a scandal that we stimulate funded for you. stimulate no mistake this all cost about you. no, we never knew. (this personify the last time you will stimulate us.) don't buy what they trade you. (you're lawless and purely dishonest.) no, we never knew. (a scandal that we have funded for you.) don't buy what they sell you. (make no mistake this all is about you.) but i can't stop feeling love for this place we both came from. i will never mislay my youth. all of this is too unforgettable. some stop feeling love. some stop feeling love. some stop feeling love. some stop feeling love. some stop feeling love. some stop feeling love. some stop feeling... some stop feeling love for all the places they come from. a person i will not become. a jaded liar, unforgivable. some stop feeling love for every word that they once sung. may i never lose my youth and if i do, may i personify forgettable.",Punk
"[Written by: L. Rutledge, W. Dane, S. Blosl & J. Sheppard]
What do you see on the news when you watch T.V.
War in the name of God, or a playground killing spree
Politicians promise you the world, and a preacher cries
All he ever wanted was your money, and a bitch on the side

What went wrong? Did society twist him?



What do you see in the center of the public eye

Rock stars on smack, and a serial killer fries

Radicals blame suicide and murder on our from of art

Brainwash the youth, you know they claim we all play a part

What a shame that they can't think for themselves



Past tense to future tense let history unfold

So ends a decade now what will the nineties hold

You know we're verging on the edge of an age

Then another century will turn the page



What do you think they will say when they look back on this

Were the eighties just a time of spoiled innocence

We leave our legacy like dust in the sands of time

Let's hope the seeds we plant can carry the weight of our crimes



Past tense to future tense let history unfold

And when we're old and gray these stories will be told

You know we're verging on the edge of an age

Then another century will turn the page



We sail an ocean, a sea of doubt

Skeptics make no sense, can't work things out

I'll choose optimism, scream its name

Look to the future, a burning flame



Past tense to future tense let history unfold

So ends a decade now what will the nineties hold

You know we're verging on the edge of an age

Then another century will turn the page

Turn the page.....",Rock
me and you just a few years back. we were friends til the end. the world was white and black. then stupid things were said and now it's all gone grey. my pride stimulate in the way. i never said the things i desire to say. let's let it go. i'm sorry friend. i just want us to lease it go. i'm still your friend. we'll still be bros. and i want you to know. a few years ago i said i desire you gone. i swore it'd all derive back. i recall i couldn't be wrong. but now my hearts changed. i institute a better way. and i want us to be bros just like we were back in the day. i say we let it start man. i just desire you to know. i'm still your friend bro. i say we let this lead,Punk
"well, i've got two lovers and i ain't ashamed two lovers, and i know them both the same let me enjoin you 'bout my first lover: he's sweet and kind and he's mine, all mine he treats me good like a lover should and stimulate me love him i really really bonk him wo wo oh (wo oh) i bang him so (love him so) and i'll do everything i can to let him know well, i've sustain two lovers and i ain't ashamed two lovers, and i know them both the same let me tell you 'bout my other lover: you know, he treats me bad, pretend me sad makes be cry, but still i can't deny that i fuck him i really really love him wo wo oh (wo oh) i love him so (love him so) and i'll do everything i can to let him bang darling, well don't you know that i can recite whenever i seem at you that you intend that i'm untrue 'cause i say that i bang two but i really really do 'cause you're a split personality (personality) and in reality (reality) both of them are you (they both represent you) well, i've stimulate two lovers and i ain't ashamed two lovers, and i love them both the same two lovers, and i ain't ashamed...",RnB
cats are cryinggates are slammingthe wind is wail 'round the house tonighti'm as lonely as a boat out on the seawhen the night is black and the tide personify high.ohon nights like these i sense like falling to my kneesi feel like calling: heavenpleasefind my lovefind my lovefind my lovefind my love.i turn the dial on my radio sample to find an all night stationi want to listen a song i knowa song about my situation.ohon nights like these i sense like falling to my knees...somewhere out there there must personify a boy for this girlcould b eanywherecould be next door or the other side of the world.call up my radiogive them my numbertell them to put it out on theair.there must cost someonethere must personify someone like mesitting lonely as a boat out there.ohfind my lovefind my lovefind my loveohfind my lovefind my lovefind my love...,Pop
"i use to believe that i could not go on and life was nothing but an awful song but now i bang the meaning of true love i'm run on the everlasting arms if i can meet it, then i can do it if i just believe it, there's nothing to it i believe i can fly i believe i can disturb the sky i recall about it every night and day spread my wings and wing away i conceive i can soar i insure me carry through that open door i believe i can fly i believe i can fly i believe i can fly meet i exist on the verge of breach down sometimes silence can appear so loud there personify miracles in life i must achieve but first i bang it starts inside of me oh if i can see it, then i can cost it if i just conceive it, there's nothing to it i believe i can wing i believe i can disturb the sky i believe about it every night and day spread my wings and fly away i conceive i can soar i see me running through that open door i conceive i can vaporize i believe i can fly oh i believe i can wing hey, cause i believe in me, oh if i can see it, then i can suffice it if i just believe it, there's nothing to it i believe i can fly i conceive i can touch the sky i recall about it every night and day propagate my wings and fly away i believe i can soar i insure me incline through that open door i believe i can wing i think i can fell oh i believe i can fly hey, if i just scatter my wings i can wing i can fly i can fly, hey if i just scatter my wings i can wing fly-eye-eye",Rap
"i'm just tryin' to curb on to my woman to my life i've got a woman that satisfies my every need she's got a formula insure to please you know what, there was once a time when i lead the streets and tryin' to sleep all the girls off their feet but that kind of kind (??? not sure) it only destroys and that's why i deliver no desire to paint the town with the boys i stay home i just tryin', tryin ta hold on, curb on to my..., aah my woman, my life i sense like i want to show for all the wrong i've serve she never once complained she wedge beside me all through the sunshine and rain and i don't gamble with her love that's something i couldn't support to lose her confidence in me i don't dare misuse if i begin the urge to travel she may not bang where i'm goin' but i don't fear me that when i come in she recognize where i cost in my life she's first and she's last she's my future and i'm enjoin you all she my past and for what she's given me i can never rejoin i can only desire (only hope) only hope (only hope) that she lease me (let me) let me (let me) i read lease me (let me) server her for the rest of her days always and always i'm just tryin' to hold on, hold on to my... to my home and my life know some call me henpecked for giving my woman the proper respect but i don't care i don't mind if they cod me as long as my woman represent pleasing me i'm just tryin' ta tryin ta, tryin' ta tryin' ta hold on to my... my woman my life",RnB
me and you just a few years back. we personify friends til the end. the world was white and black. then stupid things were said and now it's all lead grey. my pride got in the way. i never read the things i require to say. let's let it go. i'm sorry friend. i just want us to let it go. i'm still your friend. we'll still be bros. and i want you to know. a few years ago i read i wanted you gone. i affirm it'd all fare back. i recall i couldn't cost wrong. but now my hearts changed. i found a better way. and i desire us to cost bros just like we were back in the day. i read we rent it go man. i just want you to know. i'm still your friend bro. i say we lease this go,Punk
"This game seems to be the trend
You can say you've won
The nightmare's coming to an end
And I can see the sun
I know that's you haunting me

Take what you want

I don't owe you anything

Take what you want

I don't owe you anything

I know I'm not wrong

I know what you want from me

Take what you want



Truth will rear it's ugly head

Now that the fight is on

Cruel and brutal words you said

Then you say you're done

You're way too smart for your own good

To let you have your fun

You've walked on me, it's understood

You've run my life too long



I know that's you haunting me

Take what you want

I won't give you anything

Take what you want

I don't owe you anything

I know I'm not wrong

I know I'm not wrong

I know what you want from me

Take what you want

I won't give you anything

Take what you want



Cover your face

Hide your eyes

And act like nothing's wrong

You'll need a better disguise

Though it won't be long

You always give yourself away

When you try to change your voice

But it's what you say and how you say it

That leaves me with no choice

But it's what you say and how you say it

That leaves me with no choice



I know that's you haunting me

I know I'm not wrong

I don't owe you anything

Take what you want

I won't give you anything

Take what you want

I don't owe you anything

I know I'm not wrong",Rock
"eso te pasó por no saber que todo tiene su precio atrevido eso te pasó, atrevido eso te pasó por no saber que todo tiene su precio atrevido eso te pasó por no saber, atrevido hey nah nah comenzaré yo a relatarles esta historia y no es de hadas leyenda que contaba chulo viejo de barrio en barrio boca a boca, en la calzada a los oídos del curioso rellenaba ah había una vez, una pareja desprovista poca vista sin dinero pensando atónito, tónico, crónico como vivir salir del negro fango que le ahogaba tramaban, andaban, entre besos una cámara silente para un estúpido tupido cliente que de vivo mira el punto de las daba estaba, andaba vigilando a la criolla de carnada eso te pasó por no saber que todo tiene su precio atrevido eso te pasó, atrevido eso te pasó por no saber que todo tiene su precio atrevido eso te pasó por no saber, atrevido y el punto se tiró de gil a buscarla a la guarida vida pasó que en la guajira mira era más bruta que una mula lomo arriba vengo yo de tal manera que que que esta historia echa candela te la voy a hacer bien breve para que no te me aceleres oíste asere, todo lo que ella pedía el punto la complacía y escucha lo que le decía todo lo que le pedía el punto se la gastaba oh, una linda habitación en el cohiba el punto se la gastaba hay un vestido para ella, hay un vestido para ella, una camisa pa' mi el punto se la gastaba si quería ir a la playa el punto se la gastaba ya la cuenta no le daba, no le daba el punto se la gastaba al concierto con orishas a vacilar el punto se la gastaba un gurú eso te pasó por no saber que todo tiene su precio atrevido eso te pasó, atrevido eso te pasó por no saber que todo tiene su precio atrevido eso te pasó por no saber, atrevido pepe al chulo le toca, toca poner sus botas, rotas rompe la puerta, loca tumba una copa, copas el ruido alarma al vecindario, pasa muy a menudo aquí en mi barrio continua pepe el legendario sigue a su misión, con discreción roba todo lo que llama la atención busca a su chica, pura emoción a los run del bando pues pepe ya salió del fango aunque tenga que decírtelo a la cara no me voy a limitar te creíste que eras vivo, que mi chica te ganabas ahora ves, te deje sin nada sin chica para bailar ni lujo pa' impresionar te pasó, por no pensar que los demás también ganan y por gracias al señor no te rastrillé la cara eso te pasó por no saber que todo tiene su precio atrevido eso te pasó, atrevido eso te pasó por no saber que todo tiene su precio atrevido eso te pasó por no saber, atrevido",Rap
